Date,PnL Points,Lot Size,Pnl
30-07-2018,53.7135,25,1342.84
01-08-2018,-110.7546272,25,-2768.87
03-08-2018,185.9199,25,4648.00
08-08-2018,35.1611,25,879.03
09-08-2018,33.1577,25,828.94
13-08-2018,-111.4,25,-2785.00
14-08-2018,10.9767,25,274.42
16-08-2018,-58.95,25,-1473.75
17-08-2018,53.2659,25,1331.65
23-08-2018,-10.1463,25,-253.66
27-08-2018,29.85,25,746.25
30-08-2018,-111.9983108,25,-2799.96
04-09-2018,70.6408,25,1766.02
10-09-2018,-19.3678,25,-484.20
11-09-2018,166.8897,25,4172.24
17-09-2018,16.8,25,420.00
18-09-2018,89.9962,25,2249.91
21-09-2018,-104.0001824,25,-2600.00
28-09-2018,-100.6604,25,-2516.51
04-10-2018,-99.5532,25,-2488.83
05-10-2018,-100.5008924,25,-2512.52
10-10-2018,447.3912,25,11184.78
11-10-2018,69.2,25,1730.00
12-10-2018,47.7045,25,1192.61
17-10-2018,669,25,16725.00
24-10-2018,59.55,25,1488.75
25-10-2018,-98.78579,25,-2469.64
29-10-2018,159.912,25,3997.80
02-11-2018,85.1,25,2127.50
12-11-2018,9.9154,25,247.88
15-11-2018,-4.0067,25,-100.17
20-11-2018,15.55,25,388.75
21-11-2018,4.4568,25,111.42
22-11-2018,73.2529,25,1831.32
26-11-2018,84.2653,25,2106.63
29-11-2018,220.45,25,5511.25
04-12-2018,1.9485,25,48.71
05-12-2018,-106.5004,25,-2662.51
06-12-2018,100.3,25,2507.50
07-12-2018,173.3973,25,4334.93
10-12-2018,-105.5324,25,-2638.31
11-12-2018,-102.901,25,-2572.53
12-12-2018,37.6912,25,942.28
17-12-2018,17.1,25,427.50
20-12-2018,86.35,25,2158.75
21-12-2018,221.0793,25,5526.98
26-12-2018,-106.2599756,25,-2656.50
28-12-2018,10.75,25,268.75
02-01-2019,-108.8479088,25,-2721.20
04-01-2019,60.0414,25,1501.03
08-01-2019,34.0345,25,850.86
11-01-2019,-110.0147476,25,-2750.37
14-01-2019,-30.0872,25,-752.18
15-01-2019,7.5301,25,188.25
17-01-2019,-109.598208,25,-2739.96
25-01-2019,24.26,25,606.50
28-01-2019,135.14,25,3378.50
31-01-2019,287.4869,25,7187.17
01-02-2019,-107.8760148,25,-2696.90
12-02-2019,31.2051,25,780.13
15-02-2019,-53.9401,25,-1348.50
19-02-2019,-107.5853916,25,-2689.63
22-02-2019,61.6501,25,1541.25
25-02-2019,97.6989,25,2442.47
26-02-2019,-107.32,25,-2683.00
